CodeListIdentifier;VersionIdentifier;ScCode;TaxonomyCode;LatinName;ParentReference;AuthorName;CodeReference;StancodeKeyUniqueIdentifier;StancodeGuidKey;StancodeKeyReference;ReferenceTypeName;LastUpdateDate;CreationDate;ApplicantIdentificationText;ParentStancodeKeyReference
1064;1;94;1601010101302;Chara vulgaris var. papillata;0;Wallr. ex A. Braun;94;1030099;f9b011ad-ad9a-4948-adec-97e7d85e49df;1030099;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;95;1601010101303;Chara vulgaris var. contraria;0;Chara vulgaris L. var. contraria (A. Braun ex Kütz.) J.A. Moore;95;1030100;41ddd83a-6afb-4f9b-9398-d5618bfcbbbc;1030100;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;96;1601010101304;Chara vulgaris var. denudata;0;(A. Braun) R.D. Wood;96;1030101;62556879-186d-4168-9fc7-ae4115e0da14;1030101;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;97;1601010101305;Chara vulgaris var. hispidula;0;(A. Braun) J.A. Moore;97;1030102;0fc4d892-7e32-43e2-991b-1d210b402f3c;1030102;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;98;1601010101306;Chara vulgaris var. vulgaris;0;;98;1030103;b6edbdd9-36c3-4457-97fe-598c01ef3b50;1030103;Valid;07-02-2018 09:20:55;07-02-2018 09:20:55;Standatsekretariatet - DCE;
1064;1;99;1601010101400;Chara canescens;0;Chara canescens Desv. & Loisel.;99;1030104;e2d639ef-bd66-4f22-a5ec-b427a6ba3552;1030104;Valid;07-02-2018 09:20:56;07-02-2018 09:20:56;Standatsekretariatet - DCE;
1064;1;100;1601010101500;Chara connivens;0;Salzm. ex A. Braun;100;1030105;945c7cec-c6bc-46e9-82a8-5b72a031bf36;1030105;Valid;07-02-2018 09:20:56;07-02-2018 09:20:56;Standatsekretariatet - DCE;
1064;1;101;1601010101600;Chara muscosa;0;Groves & Bullock-Webster;101;1030106;58221274-9442-42e7-89d6-88074a33a3ed;1030106;Valid;07-02-2018 09:20:56;07-02-2018 09:20:56;Standatsekretariatet - DCE;
1064;1;102;1601010300000;Lamprothamnium;0;J. Groves;102;1030107;013a2e64-c9c2-49b1-bb22-3d18cbd531ee;1030107;Valid;07-02-2018 09:20:56;07-02-2018 09:20:56;Standatsekretariatet - DCE;
1064;1;103;1601010300100;Lamprothamnium papulosum;0;Lamprothamnium papulosum (Wallr.) J. Groves;103;1030108;d230566d-d82a-4aa1-a875-511f0be0fb3f;1030108;Valid;07-02-2018 09:20:56;07-02-2018 09:20:56;Standatsekretariatet - DCE;
1064;1;104;1601010400000;Nitella;0;J. Agardh;104;1030109;732218fe-ebb4-497f-8ea0-54b75c129388;1030109;Valid;07-02-2018 09:20:56;07-02-2018 09:20:56;Standatsekretariatet - DCE;
1064;1;105;1601010400100;Nitella flexilis;0;Nitella flexilis (L.) C. Agardh;105;1030110;8f2ede9b-3b76-4f26-90ef-708e8b96701a;1030110;Valid;07-02-2018 09:20:56;07-02-2018 09:20:56;Standatsekretariatet - DCE;
