stancode,latin,danish
362,Sphagnum centrale,Midtstillet tørvemos
363,Sphagnum compactum,Tæt tørvemos
364,Sphagnum contortum,Krumbladet tørvemos
365,Sphagnum denticulatum,-
366,Sphagnum fallax,Brodspids-tørvemos
367,Sphagnum fimbriatum,Frynset tørvemos
368,Sphagnum flexuosum,Kuplet tørvemos
369,Sphagnum fuscum,Rustbrun tørvemos
370,Sphagnum girgensohnii,Stiv tørvemos
371,Sphagnum inundatum,Stump tørvemos
372,Sphagnum subsecundum,Ensidig tørvemos
373,Sphagnum lindbergii,Glinsende tørvemos
374,Sphagnum cuspidatum,Pjusket tørvemos
375,Sphagnum magellanicum,-
376,Sphagnum majus,Svømmende tørvemos
377,Sphagnum majus subsp. norvegicum,-
378,Sphagnum molle,Blød tørvemos
379,Sphagnum obtusum,Småporet tørvemos
380,Sphagnum palustre,Almindelig tørvemos
381,Sphagnum papillosum,Sod-tørvemos
382,Sphagnum platyphyllum,Storbladet tørvemos
383,Sphagnum pulchrum,Smuk tørvemos
384,Sphagnum quinquefarium,Tregrenet tørvemos
385,Sphagnum riparium,Kløftet tørvemos
386,Sphagnum rubellum,Kohorns-tørvemos
387,Sphagnum russowii,Spraglet tørvemos
388,Sphagnum squarrosum,Udspærret tørvemos
389,Sphagnum strictum,Stjerne-tørvemos
390,Sphagnum subnitens,Fedtet tørvemos
391,Sphagnum subtile,-
392,Sphagnum tenellum,Skebladet tørvemos
393,Sphagnum tenerum,-
394,Sphagnum teres,Trindgrenet tørvemos
395,Sphagnum viride,-
396,Sphagnum warnstorfii,Blygrå tørvemos
397,Sphagnum brevifolium,-
398,Bryopsida,Bladmosser (Bryopsida-klassen)
399,Andreaeaceae,-
400,Andreaea,-
401,Andreaea rothii,Ribbe-sortmos
402,Andreaea rupestris,Lille sortmos
403,Archidiaceae,-
404,Archidium,-
405,Archidium alternifolium,Stor sporemos
406,Aulacomniaceae,-
407,Aulacomnium,-
408,Aulacomnium androgynum,Kugle-filtmos
409,Aulacomnium palustre,Almindelig filtmos
410,Bartramiaceae,-
411,Bartramia,-
412,Bartramia ithyphylla,Blågrøn kuglekapsel
413,Bartramia pomiformis,Gulgrøn kuglekapsel
414,Philonotis,-
415,Philonotis arnellii,Arnells vandtuemos
416,Philonotis caespitosa,Fladbladet vandtuemos
417,Philonotis calcarea,Kalk-vandtuemos
418,Philonotis fontana,Kilde-vandtuemos
419,Philonotis marchica,Spæd vandtuemos
420,Philonotis tomentella,Ligesidet vandtuemos
421,Plagiopus,-
422,Plagiopus oederi,-
423,Bryaceae,-
424,Bryum,-
425,Bryum algovicum,Ribbe-bryum
426,Bryum alpinum,Skærgårds-bryum
427,Bryum argenteum,Sølv-bryum
428,Bryum bicolor,-
429,Bryum bimum,-
430,Bryum bornholmense,Bornholmsk bryum
431,Bryum caespiticium,Tue-bryum
432,Bryum calophyllum,Smuk bryum
433,Bryum capillare,Hårspidset bryum
434,Bryum creberrimum,Symmetrisk bryum
435,Bryum cyclophyllum,Rundbladet bryum
436,Bryum elegans,Pryd-bryum
437,Bryum flaccidum,-
438,Bryum funkii,-
439,Bryum intermedium,Ler-bryum
440,Bryum klinggraeffii,Kortbørstet bryum
441,Bryum knowltonii,Hulbladet bryum
442,Bryum mamillatum,-
443,Bryum marratii,Strand-bryum
444,Bryum micro-erythocarpum,-
445,Bryum neodamense,-
446,Bryum pallens,Blegrød bryum
447,Bryum pallenscens,-
448,Bryum pseudotriquetrum,Nedløbende bryum
449,Bryum purpurascens,-
450,Bryum radiculosum,Gulribbet bryum
451,Bryum rubens,Mark-bryum
452,Bryum ruderale,Ruderat-bryum
453,Bryum salinum,Salt-bryum
454,Bryum schleicheri,Storbladet bryum
455,Bryum stenotrichum,-
456,Bryum stirtonii,-
457,Bryum tenuisetum,Gulknoldet bryum
458,Bryum torquescens,Rødknoldet bryum
459,Bryum turbinatum,Top-bryum
460,Bryum uliginosum,Mose-bryum
461,Bryum violaceum,Violet bryum
462,Bryum warneum,Smalmundet bryum
463,Leptobryum,-
464,Leptobryum pyriforme,Almindelig pæremos
465,Mniobryum,-
466,Mniobryum delicutulum,-
467,Mniobryum wahlenbergii,-
468,Orthodontium,-
469,Orthodontium lineare,Smalbladet plysmos
